# Wavenumber, Intensity, Intensity Filtered at 125.00 cm width 35.00 order 2
1.199526000000000067e+03,7.947100000000000364e+02,7.321440962048869778e+02
1.200490000000000009e+03,7.946000000000000227e+02,7.336222958611321019e+02
1.201454999999999927e+03,7.940754167000000052e+02,7.348415706765271125e+02
1.202419000000000096e+03,7.917541667000000416e+02,7.344176518706793786e+02
1.203383000000000038e+03,7.870012500000000273e+02,7.317170259607156595e+02
1.204346999999999980e+03,7.803304167000000007e+02,7.272504654370217168e+02
1.205311999999999898e+03,7.731120832999999948e+02,7.223816803675797473e+02
1.206276000000000067e+03,7.665791666999999734e+02,7.183259120638460899e+02
1.207240000000000009e+03,7.611137499999999818e+02,7.154556860966517888e+02
1.208203999999999951e+03,7.560087499999999636e+02,7.130578368547882064e+02
1.209169000000000096e+03,7.497937500000000455e+02,7.096623294540188454e+02
1.210133000000000038e+03,7.410104166999999507e+02,7.038135285815847055e+02
1.211096999999999980e+03,7.290395833000000039e+02,6.948932102710263052e+02
1.212060999999999922e+03,7.144070832999999539e+02,6.834157799098219357e+02
1.213026000000000067e+03,6.983483333000000357e+02,6.705991797795447837e+02
1.213990000000000009e+03,6.820466666999999461e+02,6.576041447592117493e+02
1.214953999999999951e+03,6.661029167000000371e+02,6.450200270812485996e+02
1.215917999999999893e+03,6.504654166999999916e+02,6.327907263792229742e+02
1.216883000000000038e+03,6.347179167000000461e+02,6.205002285420051749e+02
1.217846999999999980e+03,6.184862500000000409e+02,6.077672686087765896e+02
1.218810999999999922e+03,6.017200000000000273e+02,5.945353508757325471e+02
1.219775000000000091e+03,5.847220833000000084e+02,5.810939151249814358e+02
1.220740000000000009e+03,5.679400000000000546e+02,5.678763575380137354e+02
1.221703999999999951e+03,5.517104166999999961e+02,5.551994400684295670e+02
1.222667999999999893e+03,5.361145833000000493e+02,5.431365039080438919e+02
1.223632000000000062e+03,5.210054166999999552e+02,5.315355951608383975e+02
1.224596999999999980e+03,5.061591667000000143e+02,5.201702542697129275e+02
1.225560999999999922e+03,4.914487500000000182e+02,5.089027897561341547e+02
1.226525000000000091e+03,4.769412500000000250e+02,4.977920916156135718e+02
1.227489000000000033e+03,4.628666666999999961e+02,4.870557936909406180e+02
1.228453999999999951e+03,4.494925000000000068e+02,4.769495887646830852e+02
1.229417999999999893e+03,4.369904167000000257e+02,4.676280920474064260e+02
1.230382000000000062e+03,4.253666666999999961e+02,4.590911597039730054e+02
1.231346000000000004e+03,4.144787499999999909e+02,4.511921453246922056e+02
1.232310999999999922e+03,4.041229582999999934e+02,4.437248835664718740e+02
1.233275000000000091e+03,3.941340417000000116e+02,4.365155171813271409e+02
1.234239000000000033e+03,3.844507917000000248e+02,4.294978135257300096e+02
1.235202999999999975e+03,3.751189166999999998e+02,4.227089954279663289e+02
1.236167999999999893e+03,3.662266250000000127e+02,4.162292628878769847e+02
1.237132000000000062e+03,3.578406666999999857e+02,4.101139567298011457e+02
1.238096000000000004e+03,3.499590832999999748e+02,4.043568931245687850e+02
1.239059999999999945e+03,3.425146250000000236e+02,3.988885790423270237e+02
1.240025000000000091e+03,3.354155832999999802e+02,3.936159951595393522e+02
1.240989000000000033e+03,3.285979583000000162e+02,3.884708874071258151e+02
1.241952999999999975e+03,3.220546666999999843e+02,3.834431671467887099e+02
1.242916999999999916e+03,3.158269999999999982e+02,3.785699126451184497e+02
1.243882000000000062e+03,3.099651250000000005e+02,3.738965394124127215e+02
1.244846000000000004e+03,3.044837082999999893e+02,3.694334229144578217e+02
1.245809999999999945e+03,2.993387500000000045e+02,3.651360186629606233e+02
1.246773999999999887e+03,2.944403750000000173e+02,3.609164042802131007e+02
1.247739000000000033e+03,2.896911249999999995e+02,3.566787628750876138e+02
1.248702999999999975e+03,2.850308332999999834e+02,3.523654072110106767e+02
1.249666999999999916e+03,2.804609166999999843e+02,3.479775690873229337e+02
1.250631000000000085e+03,2.760359166999999729e+02,3.435694160955632697e+02
1.251596000000000004e+03,2.718277499999999804e+02,3.392106786204084301e+02
1.252559999999999945e+03,2.678840000000000146e+02,3.349510369819687980e+02
1.253523999999999887e+03,2.642026667000000089e+02,3.307900476135152985e+02
1.254488000000000056e+03,2.607349583000000166e+02,3.266841083097822889e+02
1.255452999999999975e+03,2.574111250000000268e+02,3.225674000216476429e+02
1.256416999999999916e+03,2.541746249999999918e+02,3.183918568865939278e+02
1.257381000000000085e+03,2.510042917000000102e+02,3.141390748598395248e+02
1.258345000000000027e+03,2.479150832999999921e+02,3.098276687897908346e+02
1.259309999999999945e+03,2.449370833000000118e+02,3.054884718047340471e+02
1.260273999999999887e+03,2.420891666999999927e+02,3.011484271129998547e+02
1.261238000000000056e+03,2.393619166999999948e+02,2.968017378751164301e+02
1.262201999999999998e+03,2.367216249999999889e+02,2.924224717553041160e+02
1.263166999999999916e+03,2.341299582999999984e+02,2.879773407563316141e+02
1.264131000000000085e+03,2.315662499999999966e+02,2.834580461722816835e+02
1.265095000000000027e+03,2.290374999999999943e+02,2.788751635817177430e+02
1.266058999999999969e+03,2.265735416999999927e+02,2.742635755764190435e+02
1.267023999999999887e+03,2.241998332999999946e+02,2.696516364758879263e+02
1.267988000000000056e+03,2.219260832999999877e+02,2.650611536542616022e+02
1.268951999999999998e+03,2.197377917000000025e+02,2.604825595866374215e+02
1.269915999999999940e+03,2.176060416999999916e+02,2.558961347409789937e+02
1.270881000000000085e+03,2.155055000000000121e+02,2.512819637179078711e+02
1.271845000000000027e+03,2.134307916999999861e+02,2.466486987074080446e+02
1.272808999999999969e+03,2.113988333000000068e+02,2.420164042438366607e+02
1.273772999999999911e+03,2.094373750000000030e+02,2.374189267680396540e+02
1.274738000000000056e+03,2.075657083000000114e+02,2.328782794451830966e+02
1.275701999999999998e+03,2.057807917000000089e+02,2.284051375817231531e+02
1.276665999999999940e+03,2.040568749999999909e+02,2.239789665390127027e+02
1.277630000000000109e+03,2.023602500000000077e+02,2.195754484436760379e+02
1.278595000000000027e+03,2.006691250000000082e+02,2.151778413699754537e+02
1.279558999999999969e+03,1.989881666999999936e+02,2.108042915339871399e+02
1.280522999999999911e+03,1.973467917000000114e+02,2.064860323979447685e+02
1.281487000000000080e+03,1.957827499999999930e+02,2.022654645076009672e+02
1.282451999999999998e+03,1.943182500000000061e+02,1.981665300494259725e+02
1.283415999999999940e+03,1.929449999999999932e+02,1.941933615268559095e+02
1.284380000000000109e+03,1.916249167000000000e+02,1.903124257112998521e+02
1.285344000000000051e+03,1.903081249999999898e+02,1.864825436133087635e+02
1.286308999999999969e+03,1.889584999999999866e+02,1.826720595712867805e+02
1.287272999999999911e+03,1.875726249999999879e+02,1.788891679595509174e+02
1.288237000000000080e+03,1.861816666999999939e+02,1.751652448223514114e+02
1.289201000000000022e+03,1.848343749999999943e+02,1.715513989318282597e+02
1.290165999999999940e+03,1.835709583000000009e+02,1.680873613341928206e+02
1.291130000000000109e+03,1.824017082999999957e+02,1.647923535936247674e+02
1.292094000000000051e+03,1.813032082999999943e+02,1.616455209400340323e+02
1.293057999999999993e+03,1.802320416999999964e+02,1.586098517791189693e+02
1.294022999999999911e+03,1.791480832999999961e+02,1.556483851170084449e+02
1.294987000000000080e+03,1.780345000000000084e+02,1.527525967326930356e+02
1.295951000000000022e+03,1.769032917000000111e+02,1.499336955834583875e+02
1.296914999999999964e+03,1.757855417000000102e+02,1.472228036946965801e+02
1.297880000000000109e+03,1.747080832999999984e+02,1.446453341763354956e+02
1.298844000000000051e+03,1.736799167000000068e+02,1.422151966358528057e+02
1.299807999999999993e+03,1.726875416999999970e+02,1.399194837462126202e+02
1.300771999999999935e+03,1.717055416999999977e+02,1.377362478480321215e+02
1.301737000000000080e+03,1.707144166999999868e+02,1.356469253984686816e+02
1.302701000000000022e+03,1.697142082999999957e+02,1.336552579594832082e+02
1.303664999999999964e+03,1.687257500000000050e+02,1.317792412729355078e+02
1.304628999999999905e+03,1.677782500000000141e+02,1.300460690903349246e+02
1.305594000000000051e+03,1.668908332999999971e+02,1.284719838874584923e+02
1.306557999999999993e+03,1.660600416999999993e+02,1.270549469852065982e+02
1.307521999999999935e+03,1.652609582999999986e+02,1.257697363689209169e+02
1.308486000000000104e+03,1.644610833000000127e+02,1.245853379107951042e+02
1.309451000000000022e+03,1.636394583000000011e+02,1.234804003314779237e+02
1.310414999999999964e+03,1.627992500000000007e+02,1.224575896236675447e+02
1.311378999999999905e+03,1.619664166999999964e+02,1.215384191735558659e+02
1.312343000000000075e+03,1.611746249999999918e+02,1.207520648498967546e+02
1.313307000000000016e+03,1.604451249999999902e+02,1.201158407873447658e+02
1.314271999999999935e+03,1.597730832999999961e+02,1.196224858337573806e+02
1.315236000000000104e+03,1.591285833000000025e+02,1.192414695848145101e+02
1.316200000000000045e+03,1.584720417000000054e+02,1.189330985799323344e+02
1.317164999999999964e+03,1.577749167000000057e+02,1.186681774105629330e+02
1.318128999999999905e+03,1.570352082999999936e+02,1.184414321055953536e+02
1.319093000000000075e+03,1.562777916999999945e+02,1.182726840539037028e+02
